,Unnamed: 0,Path,Upper,Lower,pred
6596,6596,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-23.jpg,"41.0964095592499, -74.4092738628387","41.0846614837646, -74.3979978561401",0
6597,6597,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-24.jpg,"41.0846614837646, -74.4092738628387","41.0729134082794, -74.3979978561401",610
6598,6598,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-25.jpg,"41.0729134082794, -74.4092738628387","41.0611653327942, -74.3979978561401",0
6599,6599,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-26.jpg,"41.0611653327942, -74.4092738628387","41.049417257309, -74.3979978561401",0
6600,6600,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-27.jpg,"41.049417257309, -74.4092738628387","41.0376691818237, -74.3979978561401",0
6601,6601,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-28.jpg,"41.0376691818237, -74.4092738628387","41.0259211063385, -74.3979978561401",0
6602,6602,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-29.jpg,"41.0259211063385, -74.4092738628387","41.0141730308533, -74.3979978561401",0
6603,6603,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-3.jpg,"41.3313710689545, -74.4092738628387","41.3196229934692, -74.3979978561401",0
6604,6604,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-30.jpg,"41.0141730308533, -74.4092738628387","41.002424955368, -74.3979978561401",0
6605,6605,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-31.jpg,"41.002424955368, -74.4092738628387","40.9906768798828, -74.3979978561401",0
6606,6606,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-32.jpg,"40.9906768798828, -74.4092738628387","40.9789288043976, -74.3979978561401",0
6607,6607,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-33.jpg,"40.9789288043976, -74.4092738628387","40.9671807289124, -74.3979978561401",1
6608,6608,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-34.jpg,"40.9671807289124, -74.4092738628387","40.9554326534271, -74.3979978561401",0
6609,6609,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-35.jpg,"40.9554326534271, -74.4092738628387","40.9436845779419, -74.3979978561401",0
6610,6610,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-36.jpg,"40.9436845779419, -74.4092738628387","40.9319365024567, -74.3979978561401",0
6611,6611,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-37.jpg,"40.9319365024567, -74.4092738628387","40.9201884269714, -74.3979978561401",0
6612,6612,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-38.jpg,"40.9201884269714, -74.4092738628387","40.9084403514862, -74.3979978561401",1
6613,6613,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-39.jpg,"40.9084403514862, -74.4092738628387","40.896692276001, -74.3979978561401",0
6614,6614,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-4.jpg,"41.3196229934692, -74.4092738628387","41.307874917984, -74.3979978561401",0
6615,6615,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-40.jpg,"40.896692276001, -74.4092738628387","40.8849442005157, -74.3979978561401",0
6616,6616,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-41.jpg,"40.8849442005157, -74.4092738628387","40.8731961250305, -74.3979978561401",0
6617,6617,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-42.jpg,"40.8731961250305, -74.4092738628387","40.8614480495453, -74.3979978561401",0
6618,6618,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-43.jpg,"40.8614480495453, -74.4092738628387","40.8496999740601, -74.3979978561401",0
6619,6619,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-44.jpg,"40.8496999740601, -74.4092738628387","40.8379518985748, -74.3979978561401",0
6620,6620,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-45.jpg,"40.8379518985748, -74.4092738628387","40.8262038230896, -74.3979978561401",0
6621,6621,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-46.jpg,"40.8262038230896, -74.4092738628387","40.8144557476044, -74.3979978561401",3
6622,6622,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-47.jpg,"40.8144557476044, -74.4092738628387","40.8027076721191, -74.3979978561401",0
6623,6623,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-48.jpg,"40.8027076721191, -74.4092738628387","40.7909595966339, -74.3979978561401",0
6624,6624,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-49.jpg,"40.7909595966339, -74.4092738628387","40.7792115211487, -74.3979978561401",1
6625,6625,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-5.jpg,"41.307874917984, -74.4092738628387","41.2961268424988, -74.3979978561401",0
6626,6626,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-50.jpg,"40.7792115211487, -74.4092738628387","40.7674634456635, -74.3979978561401",0
6627,6627,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-51.jpg,"40.7674634456635, -74.4092738628387","40.7557153701782, -74.3979978561401",0
6628,6628,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-52.jpg,"40.7557153701782, -74.4092738628387","40.743967294693, -74.3979978561401",0
6629,6629,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-53.jpg,"40.743967294693, -74.4092738628387","40.7322192192078, -74.3979978561401",0
6630,6630,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-54.jpg,"40.7322192192078, -74.4092738628387","40.7204711437225, -74.3979978561401",1
6631,6631,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-55.jpg,"40.7204711437225, -74.4092738628387","40.7087230682373, -74.3979978561401",0
6632,6632,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-56.jpg,"40.7087230682373, -74.4092738628387","40.6969749927521, -74.3979978561401",0
6633,6633,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-57.jpg,"40.6969749927521, -74.4092738628387","40.6852269172668, -74.3979978561401",610
6634,6634,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-58.jpg,"40.6852269172668, -74.4092738628387","40.6734788417816, -74.3979978561401",0
6635,6635,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-59.jpg,"40.6734788417816, -74.4092738628387","40.6617307662964, -74.3979978561401",1
6636,6636,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-6.jpg,"41.2961268424988, -74.4092738628387","41.2843787670135, -74.3979978561401",0
6637,6637,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-60.jpg,"40.6617307662964, -74.4092738628387","40.6499826908112, -74.3979978561401",0
6638,6638,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-61.jpg,"40.6499826908112, -74.4092738628387","40.6382346153259, -74.3979978561401",0
6639,6639,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-62.jpg,"40.6382346153259, -74.4092738628387","40.6264865398407, -74.3979978561401",0
6640,6640,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-63.jpg,"40.6264865398407, -74.4092738628387","40.6147384643555, -74.3979978561401",3
6641,6641,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-64.jpg,"40.6147384643555, -74.4092738628387","40.6029903888702, -74.3979978561401",0
6642,6642,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-65.jpg,"40.6029903888702, -74.4092738628387","40.591242313385, -74.3979978561401",0
6643,6643,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-66.jpg,"40.591242313385, -74.4092738628387","40.5794942378998, -74.3979978561401",0
6644,6644,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-67.jpg,"40.5794942378998, -74.4092738628387","40.5677461624146, -74.3979978561401",0
6645,6645,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-68.jpg,"40.5677461624146, -74.4092738628387","40.5559980869293, -74.3979978561401",0
6646,6646,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-69.jpg,"40.5559980869293, -74.4092738628387","40.5442500114441, -74.3979978561401",1
6647,6647,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-7.jpg,"41.2843787670135, -74.4092738628387","41.2726306915283, -74.3979978561401",0
6648,6648,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-70.jpg,"40.5442500114441, -74.4092738628387","40.5325019359589, -74.3979978561401",0
6649,6649,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-71.jpg,"40.5325019359589, -74.4092738628387","40.5207538604736, -74.3979978561401",0
6650,6650,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-72.jpg,"40.5207538604736, -74.4092738628387","40.5090057849884, -74.3979978561401",0
6651,6651,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-73.jpg,"40.5090057849884, -74.4092738628387","40.4972577095032, -74.3979978561401",0
6652,6652,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-74.jpg,"40.4972577095032, -74.4092738628387","40.4855096340179, -74.3979978561401",0
6653,6653,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-75.jpg,"40.4855096340179, -74.4092738628387","40.4737615585327, -74.3979978561401",0
6654,6654,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-76.jpg,"40.4737615585327, -74.4092738628387","40.4620134830475, -74.3979978561401",0
6655,6655,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-77.jpg,"40.4620134830475, -74.4092738628387","40.4502654075623, -74.3979978561401",0
6656,6656,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-78.jpg,"40.4502654075623, -74.4092738628387","40.438517332077, -74.3979978561401",0
6657,6657,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-79.jpg,"40.438517332077, -74.4092738628387","40.4267692565918, -74.3979978561401",4
6658,6658,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-8.jpg,"41.2726306915283, -74.4092738628387","41.2608826160431, -74.3979978561401",0
